Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Fiji,2020-07-29 18:35:04,-17.7134,178.065,27.0,0.0,18.0,9.0,3.0119003529501005,,,0.0,242,FJI
Gabon,2020-07-29 18:35:04,-0.8037,11.6094,7189.0,49.0,4682.0,2458.0,322.99544239008543,,,0.6815968841285297,266,GAB
Gambia,2020-07-29 18:35:04,13.4432,-15.3101,326.0,8.0,66.0,252.0,13.48967005756696,,,2.4539877300613497,270,GMB
Georgia,2020-07-29 18:35:04,42.3154,43.3569,1155.0,17.0,929.0,209.0,28.9533550170148,,,1.4718614718614718,268,GEO
Ghana,2020-07-29 18:35:04,7.9465,-1.0232,34406.0,168.0,30621.0,3617.0,110.72655005825807,,,0.4882869266988316,288,GHA
Greece,2020-07-29 18:35:04,39.0742,21.8243,4336.0,203.0,1374.0,2759.0,41.6000835071787,,,4.681734317343174,300,GRC
Grenada,2020-07-29 18:35:04,12.1165,-61.678999999999995,23.0,0.0,23.0,0.0,20.44099218798603,,,0.0,308,GRD
Guatemala,2020-07-29 18:35:04,15.7835,-90.2308,47605.0,1835.0,34488.0,11282.0,265.71863452605214,,,3.854637117949795,320,GTM
Guinea,2020-07-29 18:35:04,9.9456,-9.6966,7126.0,46.0,6312.0,768.0,54.26111979844042,,,0.6455234353073253,324,GIN
Guinea-Bissau,2020-07-29 18:35:04,11.8037,-15.1804,1954.0,26.0,803.0,1125.0,99.28871878934835,,,1.330603889457523,624,GNB
Guyana,2020-07-29 18:35:04,4.860416000000002,-58.93018000000001,396.0,20.0,181.0,195.0,50.34587360897275,,,5.05050505050505,328,GUY
Haiti,2020-07-29 18:35:04,18.9712,-72.2852,7371.0,158.0,4467.0,2746.0,64.64353139780432,,,2.14353547686881,332,HTI
Holy See,2020-07-29 18:35:04,41.9029,12.4534,12.0,0.0,12.0,0.0,1483.3127317676144,,,0.0,336,VAT
Honduras,2020-07-29 18:35:04,15.2,-86.2419,40460.0,1214.0,5103.0,34143.0,408.4967320261438,,,3.0004943153732078,340,HND
Hungary,2020-07-29 18:35:04,47.1625,19.5033,4465.0,596.0,3339.0,530.0,46.219857458580684,,,13.348264277715563,348,HUN
Indonesia,2020-07-29 18:35:04,-0.7893,113.9213,104432.0,4975.0,62138.0,37319.0,38.18024915661672,,,4.763865481844644,360,IDN
Iran,2020-07-29 18:35:04,32.427908,53.68804599999999,298909.0,16343.0,259116.0,23450.0,355.87390289754427,,,5.467550324680755,364,IRN
Iraq,2020-07-29 18:35:04,33.223191,43.679291,118300.0,4603.0,83461.0,30236.0,294.1139689889513,,,3.8909551986475055,368,IRQ
Israel,2020-07-29 18:35:04,31.046051000000002,34.851612,67734.0,491.0,32722.0,34521.0,782.5507383074032,,,0.7248944400153542,376,ISR
Jamaica,2020-07-29 18:35:04,18.1096,-77.2975,855.0,10.0,724.0,121.0,28.873809968454943,,,1.1695906432748535,388,JAM
Jordan,2020-07-29 18:35:04,31.24,36.51,1187.0,11.0,1049.0,127.0,11.633673555395694,,,0.9267059814658803,400,JOR
Kazakhstan,2020-07-29 18:35:04,48.0196,66.9237,86192.0,793.0,56638.0,28761.0,459.03682685148146,,,0.9200389827362168,398,KAZ
Kenya,2020-07-29 18:35:04,-0.0236,37.9062,19125.0,311.0,8021.0,10793.0,35.567300771973144,,,1.6261437908496732,404,KEN
"Korea, South",2020-07-29 18:35:04,35.90775700000001,127.766922,14251.0,300.0,13069.0,882.0,27.796424998619546,,,2.105115430496105,410,KOR
Kosovo,2020-07-29 18:35:04,42.602636,20.902977,7846.0,196.0,4267.0,3383.0,433.3930266034602,,,2.4980881978078,383,XKS
Kuwait,2020-07-29 18:35:04,29.311659999999996,47.481766,65903.0,444.0,56467.0,8992.0,1543.1923144559628,,,0.6737174331972747,414,KWT
Kyrgyzstan,2020-07-29 18:35:04,41.20438,74.766098,34592.0,1347.0,22296.0,10949.0,530.2113319490493,,,3.893963922294172,417,KGZ
Laos,2020-07-29 18:35:04,19.856270000000002,102.495496,20.0,0.0,19.0,1.0,0.27489308033640314,,,0.0,418,LAO
Latvia,2020-07-29 18:35:04,56.8796,24.6032,1224.0,31.0,1052.0,141.0,64.89230739867735,,,2.5326797385620914,428,LVA
Lebanon,2020-07-29 18:35:04,33.8547,35.8623,4205.0,55.0,1753.0,2397.0,61.60773177766363,,,1.3079667063020215,422,LBN
Lesotho,2020-07-29 18:35:04,-29.609988,28.233608,576.0,13.0,141.0,422.0,26.88759305627909,,,2.2569444444444446,426,LSO
Liberia,2020-07-29 18:35:04,6.4280550000000005,-9.429499,1179.0,72.0,664.0,443.0,23.311097169708546,,,6.106870229007634,430,LBR
Libya,2020-07-29 18:35:04,26.3351,17.228331,3017.0,67.0,579.0,2371.0,43.907349525642005,,,2.2207490884985086,434,LBY
Liechtenstein,2020-07-29 18:35:04,47.14,9.55,88.0,1.0,85.0,2.0,230.74704355350448,,,1.1363636363636365,438,LIE
Lithuania,2020-07-29 18:35:04,55.1694,23.8813,2043.0,80.0,1643.0,320.0,75.04708350429841,,,3.915810083210965,440,LTU
Luxembourg,2020-07-29 18:35:04,49.8153,6.1296,6533.0,114.0,4959.0,1460.0,1043.6502357917875,,,1.7449869891320986,442,LUX
MS Zaandam,2020-07-29 18:35:04,,,9.0,2.0,,7.0,,,,22.222222222222218,8888,
Madagascar,2020-07-29 18:35:04,-18.766947000000002,46.869107,10317.0,99.0,7117.0,3101.0,37.25756715561822,,,0.959581273626054,450,MDG
Malawi,2020-07-29 18:35:04,-13.254307999999998,34.301525,3738.0,103.0,1728.0,1907.0,19.5400355097542,,,2.755484216158373,454,MWI
Malaysia,2020-07-29 18:35:04,4.210483999999999,101.97576600000001,8956.0,124.0,8612.0,220.0,27.671014501082283,,,1.3845466726217062,458,MYS
Maldives,2020-07-29 18:35:04,3.2028,73.2207,3567.0,15.0,2554.0,998.0,659.8932182883108,,,0.42052144659377627,462,MDV
Mali,2020-07-29 18:35:04,17.570692,-3.996166000000001,2521.0,124.0,1927.0,470.0,12.448870007032795,,,4.918683062276874,466,MLI
Malta,2020-07-29 18:35:04,35.9375,14.3754,720.0,9.0,665.0,46.0,163.06600322961282,,,1.25,470,MLT
Mauritania,2020-07-29 18:35:04,21.0079,-10.9408,6249.0,156.0,4683.0,1410.0,134.39692364603005,,,2.496399423907825,478,MRT
Mauritius,2020-07-29 18:35:04,-20.348404000000002,57.552152,344.0,10.0,332.0,2.0,27.048979883893825,,,2.9069767441860463,480,MUS
Moldova,2020-07-29 18:35:04,47.4116,28.3699,23947.0,759.0,16785.0,6403.0,593.634597045139,,,3.16949931097841,498,MDA
Monaco,2020-07-29 18:35:04,43.7333,7.4167,117.0,4.0,104.0,9.0,298.1347467128733,,,3.418803418803418,492,MCO
Mongolia,2020-07-29 18:35:04,46.8625,103.8467,291.0,0.0,225.0,66.0,8.876573532803055,,,0.0,496,MNG
Montenegro,2020-07-29 18:35:04,42.708678000000006,19.37439,2949.0,45.0,839.0,2065.0,469.5396314376606,,,1.5259409969481181,499,MNE
Morocco,2020-07-29 18:35:04,31.7917,-7.0926,22213.0,334.0,17125.0,4754.0,60.1806128208628,,,1.5036240039616442,504,MAR
Mozambique,2020-07-29 18:35:04,-18.665695,35.529562,1748.0,11.0,616.0,1121.0,5.5926273302547225,,,0.6292906178489702,508,MOZ
Namibia,2020-07-29 18:35:04,-22.9576,18.4904,1986.0,9.0,104.0,1873.0,78.1607892586768,,,0.4531722054380665,516,NAM
Nepal,2020-07-29 18:35:04,28.1667,84.25,19273.0,49.0,14021.0,5203.0,66.14657309064191,,,0.25424168525917085,524,NPL
New Zealand,2020-07-29 18:35:04,-40.9006,174.886,1559.0,22.0,1514.0,23.0,32.329420830557126,,,1.4111610006414368,554,NZL
Nicaragua,2020-07-29 18:35:04,12.865416,-85.207229,3672.0,116.0,2492.0,1064.0,55.43014669364912,,,3.159041394335512,558,NIC
Niger,2020-07-29 18:35:04,17.607789,8.081666,1132.0,69.0,1027.0,36.0,4.676403610976759,,,6.095406360424027,562,NER
Nigeria,2020-07-29 18:35:04,9.082,8.6753,41804.0,868.0,18764.0,22172.0,20.279462381963533,,,2.0763563295378438,566,NGA
North Macedonia,2020-07-29 18:35:04,41.6086,21.7453,10503.0,476.0,5931.0,4096.0,504.1327074273536,,,4.532038465200419,807,MKD
Oman,2020-07-29 18:35:04,21.512583,55.92325500000001,78569.0,412.0,60240.0,17917.0,1538.570898727182,,,0.52437984446792,512,OMN
Panama,2020-07-29 18:35:04,8.538,-80.7821,62223.0,1349.0,36181.0,24693.0,1442.093757995795,,,2.1680086141780373,591,PAN
Papua New Guinea,2020-07-29 18:35:04,-6.314993,143.95555,63.0,1.0,11.0,51.0,0.7041445163851635,,,1.5873015873015872,598,PNG
Paraguay,2020-07-29 18:35:04,-23.4425,-58.4438,4674.0,45.0,3039.0,1590.0,65.53074435018151,,,0.962772785622593,600,PRY
Philippines,2020-07-29 18:35:04,12.879721,121.77401699999999,85486.0,1962.0,26996.0,56528.0,78.01163859620479,,,2.2951126500245653,608,PHL
Poland,2020-07-29 18:35:04,51.9194,19.1451,44416.0,1694.0,33190.0,9532.0,117.3579506008531,,,3.8139409221902016,616,POL
Portugal,2020-07-29 18:35:04,39.3999,-8.2245,50613.0,1725.0,35875.0,13013.0,496.3661307518202,,,3.4082152806591197,620,PRT
Qatar,2020-07-29 18:35:04,25.3548,51.1839,110153.0,169.0,106849.0,3135.0,3823.349739332051,,,0.15342296623786916,634,QAT
Romania,2020-07-29 18:35:04,45.9432,24.9668,48235.0,2269.0,26446.0,19520.0,250.7318709187521,,,4.704053073494349,642,ROU
Rwanda,2020-07-29 18:35:04,-1.9403,29.8739,1926.0,5.0,1005.0,916.0,14.870050352028755,,,0.2596053997923157,646,RWA
Saint Kitts and Nevis,2020-07-29 18:35:04,17.357822,-62.782998,17.0,0.0,15.0,2.0,31.959693186945405,,,0.0,659,KNA
Saint Lucia,2020-07-29 18:35:04,13.9094,-60.9789,24.0,0.0,22.0,2.0,13.069831017976465,,,0.0,662,LCA
Saint Vincent and the Grenadines,2020-07-29 18:35:04,12.9843,-61.2872,52.0,0.0,39.0,13.0,46.8692258465754,,,0.0,670,VCT
San Marino,2020-07-29 18:35:04,43.9424,12.4578,699.0,42.0,657.0,0.0,2059.6381637102954,,,6.008583690987124,674,SMR
Sao Tome and Principe,2020-07-29 18:35:04,0.18636,6.613081,867.0,14.0,759.0,94.0,395.59958204242537,,,1.6147635524798154,678,STP
Saudi Arabia,2020-07-29 18:35:04,23.885942,45.079162,272590.0,2816.0,228569.0,41205.0,782.9925931526077,,,1.033053303496093,682,SAU
Senegal,2020-07-29 18:35:04,14.4974,-14.4524,9961.0,200.0,6655.0,3106.0,59.490215260097244,,,2.0078305391025,686,SEN
Serbia,2020-07-29 18:35:04,44.0165,21.0059,24892.0,558.0,,24334.0,284.8912201268803,,,2.2416840752048848,688,SRB
Seychelles,2020-07-29 18:35:04,-4.6796,55.492,114.0,0.0,39.0,75.0,115.92434411226357,,,0.0,690,SYC
Sierra Leone,2020-07-29 18:35:04,8.460555000000001,-11.779889,1803.0,67.0,1355.0,381.0,22.602524638068147,,,3.7160288408208535,694,SLE
Singapore,2020-07-29 18:35:04,1.2833,103.8333,51531.0,27.0,46098.0,5406.0,880.8201502031592,,,0.052395645339698434,702,SGP
Slovakia,2020-07-29 18:35:04,48.669,19.699,2245.0,28.0,1660.0,557.0,41.119904726371296,,,1.2472160356347441,703,SVK
Slovenia,2020-07-29 18:35:04,46.1512,14.9955,2115.0,117.0,1761.0,237.0,101.73492928099621,,,5.531914893617022,705,SVN
Somalia,2020-07-29 18:35:04,5.152149,46.199616,3212.0,93.0,1562.0,1557.0,20.209876929274053,,,2.8953922789539237,706,SOM
South Africa,2020-07-29 18:35:04,-30.5595,22.9375,459761.0,7257.0,287313.0,165191.0,775.2000592156056,,,1.5784287923508085,710,ZAF
South Sudan,2020-07-29 18:35:04,6.8770000000000024,31.307,2305.0,46.0,1175.0,1084.0,20.591886760881923,,,1.9956616052060736,728,SSD
Sri Lanka,2020-07-29 18:35:04,7.873054,80.77179699999998,2810.0,11.0,2317.0,482.0,13.122716075327194,,,0.3914590747330961,144,LKA
Sudan,2020-07-29 18:35:04,12.8628,30.2176,11496.0,725.0,6001.0,4770.0,26.217084713544484,,,6.306541405706332,729,SDN
Suriname,2020-07-29 18:35:04,3.9193,-56.0278,1510.0,24.0,965.0,521.0,257.4006961751279,,,1.5894039735099337,740,SUR
Syria,2020-07-29 18:35:04,34.802075,38.99681500000001,717.0,40.0,229.0,448.0,4.096989044468445,,,5.578800557880057,760,SYR
Taiwan*,2020-07-29 18:35:04,23.7,121.0,467.0,7.0,440.0,20.0,1.9608028374958408,,,1.4989293361884368,158,TWN
Tajikistan,2020-07-29 18:35:04,38.861034000000004,71.276093,7320.0,60.0,6103.0,1157.0,76.74852966802486,,,0.819672131147541,762,TJK
Tanzania,2020-07-29 18:35:04,-6.369028,34.888822,509.0,21.0,183.0,305.0,0.852107987092757,,,4.12573673870334,834,TZA
Thailand,2020-07-29 18:35:04,15.870032,100.992541,3298.0,58.0,3111.0,129.0,4.724929855995083,,,1.758641600970285,764,THA
Timor-Leste,2020-07-29 18:35:04,-8.874217,125.727539,24.0,0.0,24.0,0.0,1.8203303596214317,,,0.0,626,TLS
Togo,2020-07-29 18:35:04,8.6195,0.8248,896.0,18.0,612.0,266.0,10.822906924087578,,,2.008928571428572,768,TGO
Trinidad and Tobago,2020-07-29 18:35:04,10.6918,-61.2225,156.0,8.0,128.0,20.0,11.146909840792118,,,5.128205128205129,780,TTO
Tunisia,2020-07-29 18:35:04,33.886917,9.537499,1488.0,50.0,1178.0,260.0,12.590304551682776,,,3.3602150537634414,788,TUN
Turkey,2020-07-29 18:35:04,38.9637,35.2433,228924.0,5659.0,212557.0,10708.0,271.43292917859765,,,2.471999440862469,792,TUR
Uganda,2020-07-29 18:35:04,1.373333,32.290275,1140.0,2.0,1028.0,110.0,2.4922935659474,,,0.17543859649122806,800,UGA
United Arab Emirates,2020-07-29 18:35:04,23.424076,53.847818000000004,59921.0,347.0,53202.0,6372.0,605.8501172854485,,,0.5790958094824853,784,ARE
Uruguay,2020-07-29 18:35:04,-32.5228,-55.7658,1218.0,35.0,958.0,225.0,35.06320444870884,,,2.8735632183908044,858,URY
Uzbekistan,2020-07-29 18:35:04,41.377491,64.585262,22374.0,129.0,12668.0,9577.0,66.84952334831796,,,0.5765620809868598,860,UZB
Venezuela,2020-07-29 18:35:04,6.4238,-66.5897,16571.0,151.0,10195.0,6225.0,58.27483899514076,,,0.911230462856798,862,VEN
Vietnam,2020-07-29 18:35:04,14.058323999999999,108.277199,450.0,0.0,369.0,81.0,0.4623038327977304,,,0.0,704,VNM
West Bank and Gaza,2020-07-29 18:35:04,31.9522,35.2332,11284.0,79.0,4833.0,6372.0,221.1934882393437,,,0.7001063452676356,275,PSE
Western Sahara,2020-07-29 18:35:04,24.2155,-12.8858,10.0,1.0,8.0,1.0,1.674116485025028,,,10.0,732,ESH
Yemen,2020-07-29 18:35:04,15.552726999999999,48.516388,1703.0,484.0,840.0,379.0,5.709789536420074,,,28.420434527304764,887,YEM
Zambia,2020-07-29 18:35:04,-13.133897,27.849332,5249.0,146.0,3285.0,1818.0,28.552070076756056,,,2.781482187083254,894,ZMB
Zimbabwe,2020-07-29 18:35:04,-19.015438,29.154857,2817.0,40.0,604.0,2173.0,18.953198115014626,,,1.419950301739439,716,ZWE
